,ROI,ROI,p value
0,Left-Cerebellum-Cortex,Left-Caudate,4.248e-07
1,Left-Cerebellum-Cortex,Right-Cerebellum-Cortex,3.334e-06
2,Left-Cerebellum-Cortex,ctx-lh-superiorfrontal,1.008e-05
3,Left-Cerebellum-Cortex,ctx-lh-precentral,2.323e-01
4,Left-Cerebellum-Cortex,Left-Thalamus-Proper,7.624e-02
5,Left-Cerebellum-Cortex,Left-Pallidum,4.651e-05
6,Left-Cerebellum-Cortex,Right-Thalamus-Proper,2.133e-04
7,Left-Cerebellum-Cortex,Right-Pallidum,1.219e-06
8,Left-Thalamus-Proper,Left-Pallidum,3.302e-05
9,Left-Thalamus-Proper,ctx-lh-precentral,7.254e-07
10,Left-Thalamus-Proper,ctx-lh-superiorfrontal,1.589e-06
11,Left-Thalamus-Proper,Right-Thalamus-Proper,8.922e-03
12,Left-Thalamus-Proper,Right-Pallidum,1.66e-05
13,Left-Thalamus-Proper,Right-Cerebellum-Cortex,2.037e-03
14,Left-Thalamus-Proper,Left-Caudate,5.684e-04
15,Left-Thalamus-Proper,ctx-rh-superiorfrontal,2.954e-01
16,Left-Caudate,Right-Cerebellum-Cortex,2.274e-05
17,Left-Caudate,Left-Pallidum,2.358e-02
18,Left-Caudate,ctx-lh-precentral,2.203e-08
19,Left-Caudate,ctx-lh-superiorfrontal,3.178e-07
20,Left-Caudate,ctx-rh-superiorfrontal,9.820e-03
21,Left-Caudate,Right-Thalamus-Proper,1.857e-05
22,Left-Pallidum,Right-Thalamus-Proper,2.73e-05
23,Left-Pallidum,Right-Cerebellum-Cortex,6.387e-04
24,Left-Pallidum,ctx-lh-superiorfrontal,2.601e-06
25,Left-Pallidum,ctx-rh-superiorfrontal,2.454e-03
26,Left-Pallidum,ctx-lh-precentral,3.697e-04
27,Right-Thalamus-Proper,Right-Cerebellum-Cortex,5.884e-02
28,Right-Thalamus-Proper,ctx-rh-superiorfrontal,4.303e-04
29,Right-Thalamus-Proper,ctx-lh-superiorfrontal,1.932e-06
30,Right-Thalamus-Proper,Right-Pallidum,3.966e-03
31,Right-Thalamus-Proper,ctx-lh-precentral,1.797e-01
32,ctx-rh-superiorfrontal,Right-Cerebellum-Cortex,4.031e-09
33,ctx-rh-superiorfrontal,ctx-lh-superiorfrontal,3.457e-05
34,ctx-rh-superiorfrontal,Right-Pallidum,1.85e-04
35,ctx-rh-superiorfrontal,ctx-lh-precentral,3.737e-05
36,Right-Pallidum,ctx-lh-superiorfrontal,5.246e-08
37,Right-Pallidum,ctx-lh-precentral,7.29e-05
38,Right-Pallidum,Right-Cerebellum-Cortex,1.234e-01
39,Right-Cerebellum-Cortex,ctx-lh-superiorfrontal,1.59e-03
40,Right-Cerebellum-Cortex,ctx-lh-precentral,7.361e-07
41,ctx-lh-precentral,ctx-lh-superiorfrontal,7.517e-04
